Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,Status,rol
2019-5-16,Butantã,-23.5844,-46.7252,64755,76,27,38,31,33,26,8,43,NORMAL,9856
2019-5-21,Butantã,-23.5844,-46.7252,67929,34,65,65,17,22,12,32,22,NORMAL,9861
2019-5-28,Butantã,-23.5844,-46.7252,66299,45,13,17,39,32,31,43,31,NORMAL,9868
2019-5-29,Butantã,-23.5844,-46.7252,64710,33,11,12,38,28,26,37,29,NORMAL,9869
2019-6-2,Butantã,-23.5844,-46.7252,66704,9,55,56,26,16,16,24,17,NORMAL,9872
2019-6-4,Butantã,-23.5844,-46.7252,64734,75,44,43,17,8,11,20,8,NORMAL,9874
2019-7-7,Butantã,-23.5844,-46.7252,65008,13,33,11,14,33,9,27,8,NORMAL,9907
2019-7-9,Butantã,-23.5844,-46.7252,67410,86,21,65,7,27,6,16,43,NORMAL,9909
2019-7-24,Butantã,-23.5844,-46.7252,66647,26,65,17,37,14,31,43,26,NORMAL,9924
2019-7-25,Butantã,-23.5844,-46.7252,64634,17,59,8,33,8,28,37,23,REABASTECER,9925
2019-8-3,Butantã,-23.5844,-46.7252,65119,20,20,10,11,16,40,8,31,NORMAL,9933
2019-8-13,Butantã,-23.5844,-46.7252,66197,6,24,14,28,20,43,8,31,REABASTECER,9943
2019-8-26,Butantã,-23.5844,-46.7252,65095,53,12,58,39,8,43,40,26,NORMAL,9956
2019-8-27,Butantã,-23.5844,-46.7252,66610,46,5,52,38,4,37,35,24,NORMAL,9957
2019-9-2,Butantã,-23.5844,-46.7252,67912,86,51,16,23,25,31,17,43,NORMAL,9962
2019-9-9,Butantã,-23.5844,-46.7252,65038,7,17,29,43,32,5,35,14,REABASTECER,9969
2019-9-24,Butantã,-23.5844,-46.7252,67959,30,49,65,18,5,33,21,40,NORMAL,9984
2019-10-4,Butantã,-23.5844,-46.7252,64342,22,55,65,23,3,43,20,41,REABASTECER,9994
2019-10-10,Butantã,-23.5844,-46.7252,65788,54,15,22,17,21,20,39,26,NORMAL,10000
2019-10-12,Butantã,-23.5844,-46.7252,64459,36,65,7,13,15,15,29,16,NORMAL,10002
2019-10-15,Butantã,-23.5844,-46.7252,65504,9,50,53,43,6,9,18,4,NORMAL,10005
2019-10-17,Butantã,-23.5844,-46.7252,67864,78,45,39,34,40,2,12,39,NORMAL,10007
2019-10-27,Butantã,-23.5844,-46.7252,66291,65,61,34,4,43,11,14,39,REABASTECER,10017
2019-11-4,Butantã,-23.5844,-46.7252,67098,86,19,54,29,14,29,27,9,NORMAL,10024
2019-11-27,Butantã,-23.5844,-46.7252,65330,40,17,22,11,16,42,13,30,NORMAL,10047
2019-11-30,Butantã,-23.5844,-46.7252,64405,8,59,65,37,43,32,43,18,REABASTECER,10050
2019-12-6,Butantã,-23.5844,-46.7252,64929,35,26,28,19,21,9,22,37,NORMAL,10056
2019-12-21,Butantã,-23.5844,-46.7252,65667,68,65,65,12,6,25,43,12,REABASTECER,10071
2019-12-22,Butantã,-23.5844,-46.7252,65280,55,60,58,9,43,20,38,9,NORMAL,10072
2018-1-8,Fradique Coutinho,-23.5661,-46.6841,35920,26,16,14,30,13,17,15,19,NORMAL,10088
2018-1-12,Fradique Coutinho,-23.5661,-46.6841,36563,73,58,52,15,41,43,37,4,NORMAL,10092
2018-2-7,Fradique Coutinho,-23.5661,-46.6841,33473,86,32,5,10,30,43,23,36,NORMAL,10117
2018-2-11,Fradique Coutinho,-23.5661,-46.6841,34866,43,10,50,39,14,21,5,23,REABASTECER,10121
2018-2-13,Fradique Coutinho,-23.5661,-46.6841,34824,24,65,34,34,6,12,41,14,NORMAL,10123
2018-2-14,Fradique Coutinho,-23.5661,-46.6841,35023,13,62,26,34,43,8,38,12,NORMAL,10124
2018-2-16,Fradique Coutinho,-23.5661,-46.6841,34801,86,50,15,23,33,43,33,2,REABASTECER,10126
2018-2-22,Fradique Coutinho,-23.5661,-46.6841,35303,24,6,35,43,9,31,8,25,REABASTECER,10132
2018-2-23,Fradique Coutinho,-23.5661,-46.6841,35476,11,65,26,42,4,27,5,23,REABASTECER,10133
2018-2-24,Fradique Coutinho,-23.5661,-46.6841,34519,86,58,21,39,43,22,43,21,NORMAL,10134
2018-2-25,Fradique Coutinho,-23.5661,-46.6841,35651,74,54,13,33,37,18,41,15,NORMAL,10135
2018-2-27,Fradique Coutinho,-23.5661,-46.6841,35960,53,40,65,25,27,14,33,10,NORMAL,10137
2018-3-7,Fradique Coutinho,-23.5661,-46.6841,35564,45,31,56,41,30,26,29,8,NORMAL,10147
2018-3-11,Fradique Coutinho,-23.5661,-46.6841,35786,6,9,29,25,15,19,12,34,REABASTECER,10151
2018-3-17,Fradique Coutinho,-23.5661,-46.6841,36272,38,34,56,43,36,34,30,6,REABASTECER,10157
2018-3-21,Fradique Coutinho,-23.5661,-46.6841,35454,86,20,36,29,17,28,15,30,NORMAL,10161
2018-3-29,Fradique Coutinho,-23.5661,-46.6841,34550,86,39,48,4,27,42,29,34,NORMAL,10169
2018-4-2,Fradique Coutinho,-23.5661,-46.6841,33547,52,16,25,40,13,29,19,23,NORMAL,10172
2018-4-6,Fradique Coutinho,-23.5661,-46.6841,36681,8,52,65,30,40,15,9,10,NORMAL,10176
2018-4-10,Fradique Coutinho,-23.5661,-46.6841,36102,57,26,33,22,26,43,36,38,NORMAL,10180
2018-4-24,Fradique Coutinho,-23.5661,-46.6841,35971,3,65,65,23,14,3,18,18,REABASTECER,10194
2018-5-15,Fradique Coutinho,-23.5661,-46.6841,33545,71,62,37,33,5,9,5,16,REABASTECER,10215
2018-5-18,Fradique Coutinho,-23.5661,-46.6841,35057,39,40,17,16,38,43,35,6,NORMAL,10218
2018-5-25,Fradique Coutinho,-23.5661,-46.6841,34781,63,54,34,31,13,25,5,14,REABASTECER,10225
2018-5-29,Fradique Coutinho,-23.5661,-46.6841,34019,17,23,5,27,38,12,29,43,REABASTECER,10229
2018-6-8,Fradique Coutinho,-23.5661,-46.6841,36819,8,30,9,37,3,30,31,4,NORMAL,10238
